"A","B","share_2x2","obs","est"
"Cardamine_pratensis","Rumex_acetosa",34,0.2578291093021,0.657195231016845
"Cardamine_pratensis","Stellaria_graminea",24,-0.203761888031824,0.13395700838648
"Cardamine_pratensis","Trifolium_repens",41,0.817199829229924,1.2081266914747
"Carex_flacca","Centaurea_nigra",23,2.54553127160444,1.78655186064528
"Carex_flacca","Holcus_lanatus",32,NA,NA
"Carex_flacca","Lotus_corniculatus",24,1.2600006357956,1.83675731852866
"Carex_flacca","Ranunculus_repens",22,-0.481838086892738,0.478228803289983
"Carex_flacca","Trifolium_repens",21,-1.20896034583698,-0.196421076966281
"Carex_hirta","Cerastium_fontanum",27,0.545511181753881,0.90153745410604
"Carex_hirta","Festuca_rubra",23,-0.594941656827163,-0.2029781698979
"Carex_hirta","Holcus_lanatus",54,NA,NA
"Carex_hirta","Lolium_perenne",22,-0.442067687085711,-0.0566969115894012
"Carex_hirta","Lotus_corniculatus",24,-0.281167391430587,0.207028653337243
"Carex_hirta","Poa_trivialis",39,1.33750419695046,1.32837638623602
"Carex_hirta","Ranunculus_acris",34,0.292136422801161,0.802311721055672
"Carex_hirta","Ranunculus_repens",35,-0.684413500591191,-0.0472209813510917
"Carex_hirta","Rumex_acetosa",36,0.322083499169113,0.682028093999446
"Carex_hirta","Stellaria_graminea",22,-0.123613955967177,0.173121709882218
"Carex_hirta","Trifolium_repens",29,-0.980829253011726,-0.294575038596787
"Centaurea_nigra","Cerastium_fontanum",50,-0.805625163986636,-0.383196659430583
"Centaurea_nigra","Cirsium_arvense",23,-1.11696142733631,-0.580976198067012
"Centaurea_nigra","Cirsium_palustre",21,0.688032079893175,0.290875673562325
"Centaurea_nigra","Cynosurus_cristatus",27,0.658120558448695,0.265062341471496
"Centaurea_nigra","Dactylis_glomerata",50,0.149331393391309,0.163708163338703
"Centaurea_nigra","Festuca_rubra",73,0.555277386336825,0.397320088939984
"Centaurea_nigra","Holcus_lanatus",109,NA,NA
"Centaurea_nigra","Hypochaeris_radicata",29,1.01642019811443,0.498946288276731
"Centaurea_nigra","Lathyrus_pratensis",49,1.53147637096439,0.82365057959212
"Centaurea_nigra","Leucanthemum_vulgare",29,1.56861591791385,0.930944838377788
"Centaurea_nigra","Lolium_perenne",30,-0.593063722002963,-0.237829281816915
